pairID,gold_label,Sentence1,Sentence2,Explanation_1,WorkerId,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3,assigned_to,structured_explanation
296851123.jpg#2r1c,contradiction,A man in a green shirt playing an acoustic guitar.,A man plays the piano,one is playing a guitar while the other one is playing the piano,A32MU6PW3J7RLF,A man in a green shirt *playing* an acoustic *guitar.*,A man *plays* the *piano*,"6,9","2,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,¬(playing a guitar ↔ playing the piano)
308539953.jpg#4r2c,contradiction,Man playing guitar on stage,He plays the piano and sings.,A man cannot play the piano and a guitar at the same time. A guitar is not a piano.,A1K19WHZZWON8N,Man *playing* *guitar* on stage,He *plays* *the* *piano* and sings.,"1,2","1,2,2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,play the piano ⊕ play the guitar ∧ ¬(guitar ↔ piano)
4588947862.jpg#1r5e,entailment,A man holding a cellphone and a woman holding a shopping bag stand in front of a wall covered in street art.,Two people are standing in front of a wall.,"They are in front a wall, so they can be in front of a wall covered in street art.",ACRFY7RJ86X2Y,A man holding a cellphone and a woman holding a shopping bag stand *in* *front* *of* *a* *wall* *covered* *in* *street* *art.*,Two people are standing *in* *front* *of* *a* *wall.*,"13,14,15,16,17,18,19,20,21","5,6,7,8,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
396698013.jpg#1r1e,entailment,"Two elderly men dressed up in classic time outfits, reading to a crowd.",The two elderly men are in front of a crowd.,"They are reading to the crowd, therefore they must be in front of the crowd.",A1MTSPHN1MTP6A," Two elderly men dressed up in classic time outfits, *reading* *to* *a* *crowd.*",The two elderly men are *in* *front* of a crowd.,"9,11,12,10","6,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
157912479.jpg#2r1e,entailment,A man in a blue shirt eating on a deck outside.,The man is eating outdoors.,A deck outside is outdoors.,A3GU00DMBON7YO,A man in a blue shirt eating on a deck *outside.*,The man is eating *outdoors.*,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,A deck outside ⊆ outdoors
4525526342.jpg#3r1e,entailment,An elderly man in a very unique shirt sits and smokes a cigarette.,An older man is smoking a cigarette.,An elderly man can be seen smoking a cigarette.,A3J6BYB2AIQV8U,An *elderly* *man* in a very unique shirt sits and smokes a cigarette.,An older man is *smoking* *a* *cigarette.*,"1,2","4,5,2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
4114592385.jpg#0r1e,entailment,"The rag tag of the blue bus turning a street corner seems out of place amidst shops, pedestrians, and a lone woman riding a red bicycle.",A blue bus is turning a corner.,If there is a rag tag of the blue bus then there is a blue bus turning the corner.,AUKAP2YZZ0R67," The *rag* *tag* *of* *the* *blue* *bus* turning a street corner seems out of place amidst shops, pedestrians, and a lone woman riding a red bicycle.",A *blue* *bus* *is* *turning* *a* *corner.*,"1,2,3,4,5,6","1,2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,rag tag of the blue bus ⇒ there is a blue bus turning the corner
1358892595.jpg#2r1e,entailment,A dog runs through the forest with something in its mouth.,A dog is running outdoors.,"If the dog is running through the forest, it must be outdoors.",A3MZ8B1SH4CXBO,A dog runs *through* *the* *forest* with something in its mouth.,A dog is running *outdoors.*,"3,4,2005",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
4442442651.jpg#3r1e,entailment,Two kids play on a playground structure.,Kids are playing.,Kids would be playing on a play ground structure.,A23OWY716AVQZM,Two *kids* *play* on a *playground* *structure.*,*Kids* are *playing.*,"1,2,5,6","0,2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
3634281981.jpg#2r1e,entailment,A man rides his bike on the side of a rocky hill.,A mountainbiker.,mountain biker can be riding on a rocky hill.,A3GSN49YWM9CLD,A man rides his bike on the side of a *rocky* *hill.*,A *mountainbiker.*,"10,11",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
4401319908.jpg#0r4e,entailment,Young lady dressed in black shorts and light blue shirt sitting outside at a public table looking at a picture on her camera with her left hand on her face.,A lady looks at a picture on her camera,MOST PEOPLE ARE LOOKING WHEN THEY LOOKS AT A CAMERA.,A2IHW2L1D0SLCN,Young lady dressed in black shorts and light blue shirt sitting outside at a public table *looking* at a picture on her camera with her left hand on her face.,A lady *looks* at a picture on her camera,16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,
6700129137.jpg#3r1e,entailment,A crowd watches two traditionally dressed Asian woman compete in an archery contest.,Women are shooting arrows,Archery implies shooting arrows.,A2ECRNQ3X5LEXD,A crowd watches two traditionally dressed Asian woman compete in an *archery* contest.,Women are *shooting* *arrows*,11,"2,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecilia,Archery → shooting arrows.
3562302012.jpg#1r1e,entailment,Little boy wearing jeans is playing on industrial equipment.,A little boy is wearing denim and playing.,Jeans are usually made from denim.,A2D2PX0HBE6OND,Little boy *wearing* *jeans* is playing on industrial equipment.,A little boy is *wearing* *denim* and playing.,"3,2","5,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,jeans ⊆ denim
473499987.jpg#2r1e,entailment,An older man wearing glasses is holding the door open of a red minivan.,An older man is standing outside.,A minivan would usually be found outside.,A22HREFDIY7AZN,An older man wearing glasses is holding the door open of a red *minivan.*,An older man is standing *outside.*,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,minivan → outside
7165826558.jpg#3r5e,entailment,Three guys playing golf along a body of water.,Three men play golf near water.,The word along implies that they were near the location.,A1P4CXLOYR3UVH,Three guys playing golf *along* a body of water.,Three men play golf *near* water.,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,along → near the location
3162105826.jpg#2r1e,entailment,In the kitchen two little girls are playing tag.,Two girls are playing indoors.,To be in the kitchen they have to be indoors.,A17Y3EMAVF0HQ3,*In* *the* *kitchen* two little girls are playing tag.,Two girls are playing *indoors.*,"2000,1,2",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,kitchen → indoors
3142787646.jpg#0r1e,entailment,A low angle view of a woman in slim black pants and a sweater in a pose where she has just thrown a bowling ball.,A woman is bowling.,Has just thrown a bowling ball means that she is bowling.,AGDWUYES6DFJH,A low angle view of a woman in slim black pants and a sweater in a pose where she *has* *just* *thrown* *a* *bowling* *ball.*,A woman *is* *bowling.*,"21,22,23,24,20,19","3,2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,has just thrown a bowling ball → is bowling
6872204096.jpg#2r1e,entailment,"A woman stands in front of a bridge, talking passionately through a megaphone.",The woman is outside.,"A bridge has to be outside, so the woman stands in front of the bridge who is outside.",A1J4INYRDDX84W," *A* *woman* *stands* *in* *front* *of* *a* *bridge,* talking passionately through a megaphone.",*The* *woman* is *outside.*,"0,1,2,3,4,7,6,5","2000,1,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,bridge → outside
4729531793.jpg#1r1e,entailment,Three men rest on the turret of a tank.,There are three people sitting on a vehicle.,Men are people. A tank is a type of vehicle.,A330E8HHBLEGMP,Three *men* rest on the turret of a *tank.*,There are three *people* sitting on a *vehicle.*,"8,1","7,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,men ⊆ people ∧ tank ⊆ vehicle
112220869.jpg#3r5e,entailment,A young girl in a karate uniform holding a large trophy.,The young girl is displaying a trophy.,In karate you can earn a trophy,A3AKT7BUYN9F0A,A young girl in a *karate* uniform holding a large trophy.,The young girl is displaying a *trophy.*,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,karate → trophy
4851434789.jpg#2r1e,entailment,People sit and talk on the ledge of stone public building,The people are sitting and watching.,Sitting on a ledge of stone public building involves watching whats in front of the building. Usually multiple people sitting somewhere involves talking.,A23D690D18OO78,People *sit* and talk *on* the *ledge* *of* *stone* *public* *building*,The people are *sitting* and *watching.*,"1,4,6,7,8,9,10","3,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,
3020581544.jpg#2r1e,entailment,"Man wearing a baseball cap, eyeglasses, and headphones.",a man with headphones,"The man has headphones, so he can be ""with"" headphones.",A2SV0B07WOTYPO," *Man* wearing a baseball cap, eyeglasses, and *headphones.*",a *man* *with* *headphones*,"0,7","1,3,2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sam,has headphones → with headphones
